region,week_end_date,historical_endogeneous,wILI
X,2013-06-29,0.83057,0.83057
X,2013-07-06,0.8628370000000001,0.8628370000000001
X,2013-07-13,0.732182,0.732182
X,2013-07-20,0.724558,0.724558
X,2013-07-27,0.740848,0.740848
X,2013-08-03,0.726037,0.726037
X,2013-08-10,0.7556390000000001,0.7556390000000001
X,2013-08-17,0.761847,0.761847
X,2013-08-24,0.779896,0.779896
X,2013-08-31,0.8991379999999999,0.8991379999999999
X,2013-09-07,0.999524,0.999524
X,2013-09-14,1.0558,1.0558
X,2013-09-21,1.0967,1.0967
X,2013-09-28,1.24709,1.24709
X,2013-10-05,1.15746,1.15746
X,2013-10-12,1.2718399999999999,1.2718399999999999
X,2013-10-19,1.31623,1.31623
X,2013-10-26,1.3744399999999999,1.3744399999999999
X,2013-11-02,1.46781,1.46781
X,2013-11-09,1.5834,1.5834
X,2013-11-16,1.60253,1.60253
X,2013-11-23,1.72344,1.72344
X,2013-11-30,2.11076,2.11076
X,2013-12-07,2.1708,2.1708
X,2013-12-14,2.36971,2.36971
X,2013-12-21,3.15997,3.15997
X,2013-12-28,4.59053,4.59053
X,2014-01-04,4.28195,4.28195
X,2014-01-11,3.5628800000000003,3.5628800000000003
X,2014-01-18,3.36378,3.36378
X,2014-01-25,3.39659,3.39659
X,2014-02-01,3.11922,3.11922
X,2014-02-08,2.8357200000000002,2.8357200000000002
X,2014-02-15,2.48484,2.48484
X,2014-02-22,2.2741,2.2741
X,2014-03-01,2.0724400000000003,2.0724400000000003
X,2014-03-08,1.98207,1.98207
X,2014-03-15,1.8244099999999999,1.8244099999999999
X,2014-03-22,1.8203599999999998,1.8203599999999998
X,2014-03-29,1.7539099999999999,1.7539099999999999
X,2014-04-05,1.74542,1.74542
X,2014-04-12,1.6723599999999998,1.6723599999999998
X,2014-04-19,1.5165899999999999,1.5165899999999999
X,2014-04-26,1.4477799999999998,1.4477799999999998
X,2014-05-03,1.2902799999999999,1.2902799999999999
X,2014-05-10,1.37388,1.37388
X,2014-05-17,1.34208,1.34208
X,2014-05-24,1.3456299999999999,1.3456299999999999
X,2014-05-31,1.21291,1.21291
X,2014-06-07,1.1929100000000001,1.1929100000000001
X,2014-06-14,1.1414600000000001,1.1414600000000001
X,2014-06-21,1.06503,1.06503
X,2014-06-28,1.12669,1.12669
X,2014-07-05,0.9473530000000001,0.9473530000000001
X,2014-07-12,0.9441870000000001,0.9441870000000001
X,2014-07-19,0.9348219999999999,0.9348219999999999
X,2014-07-26,0.8173600000000001,0.8173600000000001
X,2014-08-02,0.852792,0.852792
X,2014-08-09,0.7469939999999999,0.7469939999999999
X,2014-08-16,0.7610979999999999,0.7610979999999999
X,2014-08-23,0.7676270000000001,0.7676270000000001
X,2014-08-30,0.862176,0.862176
X,2014-09-06,0.984907,0.984907
X,2014-09-13,1.16287,1.16287
X,2014-09-20,1.2273100000000001,1.2273100000000001
X,2014-09-27,1.2071,1.2071
X,2014-10-04,1.16191,1.16191
X,2014-10-11,1.30905,1.30905
X,2014-10-18,1.3707200000000002,1.3707200000000002
X,2014-10-25,1.43373,1.43373
X,2014-11-01,1.42791,1.42791
X,2014-11-08,1.61605,1.61605
X,2014-11-15,1.65976,1.65976
X,2014-11-22,2.05459,2.05459
X,2014-11-29,2.5354099999999997,2.5354099999999997
X,2014-12-06,2.5425299999999997,2.5425299999999997
X,2014-12-13,3.60563,3.60563
X,2014-12-20,4.9097599999999995,4.9097599999999995
X,2014-12-27,5.98221,5.98221
X,2015-01-10,4.2137400000000005,4.2137400000000005
X,2015-01-17,4.21022,4.21022
X,2015-01-24,4.25968,4.25968
X,2015-01-31,3.97761,3.97761
X,2015-02-07,3.6344300000000005,3.6344300000000005
X,2015-02-14,3.26527,3.26527
X,2015-02-21,2.93083,2.93083
X,2015-02-28,2.54474,2.54474
X,2015-03-07,2.47227,2.47227
X,2015-03-14,2.35665,2.35665
X,2015-03-21,2.17008,2.17008
X,2015-03-28,2.04297,2.04297
X,2015-04-04,1.954,1.954
X,2015-04-11,1.7228700000000001,1.7228700000000001
X,2015-04-18,1.53694,1.53694
X,2015-04-25,1.38283,1.38283
X,2015-05-02,1.46265,1.46265
X,2015-05-09,1.38934,1.38934
